id,igdb_id,twitch_id,name,datetime,view_count
1020_4_5_0,1020,32982,Grand Theft Auto V,2023-04-05 00:03:37.620579+00:00,191043
126459_4_5_0,126459,516575,VALORANT,2023-04-05 00:03:37.620579+00:00,197287
115_4_5_0,115,21779,League of Legends,2023-04-05 00:03:37.620579+00:00,144215
121_4_5_0,121,27471,Minecraft,2023-04-05 00:03:37.620579+00:00,122003
114795_4_5_0,114795,511224,Apex Legends,2023-04-05 00:03:37.620579+00:00,68497
132181_4_5_0,132181,322503446,Resident Evil 4,2023-04-05 00:03:37.620579+00:00,54321
1905_4_5_0,1905,33214,Fortnite,2023-04-05 00:03:37.620579+00:00,39223
1372_4_5_0,1372,32399,Counter-Strike: Global Offensive,2023-04-05 00:03:37.620579+00:00,40933
2963_4_5_0,2963,29595,Dota 2,2023-04-05 00:03:37.620579+00:00,40725
7360_4_5_0,7360,460630,Tom Clancy's Rainbow Six Siege,2023-04-05 00:03:37.620579+00:00,30596
17269_4_5_0,17269,23020,ROBLOX,2023-04-05 00:03:37.620579+00:00,30428
123_4_5_0,123,18122,World of Warcraft,2023-04-05 00:03:37.620579+00:00,25545
205780_4_5_0,205780,1745202732,FIFA 23,2023-04-05 00:03:37.620579+00:00,25383
19320_4_5_0,19320,492810,Five Nights at Freddy's: Sister Location,2023-04-05 00:03:37.620579+00:00,27457
200165_4_5_0,200165,1678052513,Call of Duty: Modern Warfare II,2023-04-05 00:03:37.620579+00:00,15846
15536_4_5_0,15536,491931,Escape from Tarkov,2023-04-05 00:03:37.620579+00:00,23736
131800_4_5_0,131800,512710,Call of Duty: Warzone,2023-04-05 00:03:37.620579+00:00,19775
45517_4_5_0,45517,29452,Virtual Casino,2023-04-05 00:03:37.620579+00:00,23073
212710_4_5_0,212710,1665150412,Meet Your Maker,2023-04-05 00:03:37.620579+00:00,22776
1020_4_5_1,1020,32982,Grand Theft Auto V,2023-04-05 01:02:32.463322+00:00,241859
126459_4_5_1,126459,516575,VALORANT,2023-04-05 01:02:32.463322+00:00,206536
115_4_5_1,115,21779,League of Legends,2023-04-05 01:02:32.463322+00:00,145618
121_4_5_1,121,27471,Minecraft,2023-04-05 01:02:32.463322+00:00,83675
1905_4_5_1,1905,33214,Fortnite,2023-04-05 01:02:32.463322+00:00,63203
132181_4_5_1,132181,322503446,Resident Evil 4,2023-04-05 01:02:32.463322+00:00,69886
114795_4_5_1,114795,511224,Apex Legends,2023-04-05 01:02:32.463322+00:00,42433
1372_4_5_1,1372,32399,Counter-Strike: Global Offensive,2023-04-05 01:02:32.463322+00:00,40601
2963_4_5_1,2963,29595,Dota 2,2023-04-05 01:02:32.463322+00:00,30961
123_4_5_1,123,18122,World of Warcraft,2023-04-05 01:02:32.463322+00:00,24050
11198_4_5_1,11198,30921,Rocket League,2023-04-05 01:02:32.463322+00:00,26316
200165_4_5_1,200165,1678052513,Call of Duty: Modern Warfare II,2023-04-05 01:02:32.463322+00:00,17371
7360_4_5_1,7360,460630,Tom Clancy's Rainbow Six Siege,2023-04-05 01:02:32.463322+00:00,24800
18866_4_5_1,18866,491487,Dead by Daylight,2023-04-05 01:02:32.463322+00:00,15713
15536_4_5_1,15536,491931,Escape from Tarkov,2023-04-05 01:02:32.463322+00:00,21334
133379_4_5_1,133379,1754564141,Crab Champions,2023-04-05 01:02:32.463322+00:00,21619
125174_4_5_1,125174,515025,Overwatch 2,2023-04-05 01:02:32.463322+00:00,13584
131800_4_5_1,131800,512710,Call of Duty: Warzone,2023-04-05 01:02:32.463322+00:00,15869
45517_4_5_1,45517,29452,Virtual Casino,2023-04-05 01:02:32.463322+00:00,20615
1020_4_5_2,1020,32982,Grand Theft Auto V,2023-04-05 02:02:14.169094+00:00,238721
126459_4_5_2,126459,516575,VALORANT,2023-04-05 02:02:14.169094+00:00,113278
115_4_5_2,115,21779,League of Legends,2023-04-05 02:02:14.169094+00:00,97557
121_4_5_2,121,27471,Minecraft,2023-04-05 02:02:14.169094+00:00,91154
132181_4_5_2,132181,322503446,Resident Evil 4,2023-04-05 02:02:14.169094+00:00,54695
1905_4_5_2,1905,33214,Fortnite,2023-04-05 02:02:14.169094+00:00,33993
114795_4_5_2,114795,511224,Apex Legends,2023-04-05 02:02:14.169094+00:00,39396
1372_4_5_2,1372,32399,Counter-Strike: Global Offensive,2023-04-05 02:02:14.169094+00:00,47400
200165_4_5_2,200165,1678052513,Call of Duty: Modern Warfare II,2023-04-05 02:02:14.169094+00:00,21014
18866_4_5_2,18866,491487,Dead by Daylight,2023-04-05 02:02:14.169094+00:00,19976
205780_4_5_2,205780,1745202732,FIFA 23,2023-04-05 02:02:14.169094+00:00,27541
11198_4_5_2,11198,30921,Rocket League,2023-04-05 02:02:14.169094+00:00,24548
123_4_5_2,123,18122,World of Warcraft,2023-04-05 02:02:14.169094+00:00,19181
15536_4_5_2,15536,491931,Escape from Tarkov,2023-04-05 02:02:14.169094+00:00,20679
125174_4_5_2,125174,515025,Overwatch 2,2023-04-05 02:02:14.169094+00:00,14495
133379_4_5_2,133379,1754564141,Crab Champions,2023-04-05 02:02:14.169094+00:00,21124
2963_4_5_2,2963,29595,Dota 2,2023-04-05 02:02:14.169094+00:00,20099
45517_4_5_2,45517,29452,Virtual Casino,2023-04-05 02:02:14.169094+00:00,20295
1020_4_5_3,1020,32982,Grand Theft Auto V,2023-04-05 03:02:32.312546+00:00,229941
121_4_5_3,121,27471,Minecraft,2023-04-05 03:02:32.312546+00:00,72425
126459_4_5_3,126459,516575,VALORANT,2023-04-05 03:02:32.312546+00:00,47761
115_4_5_3,115,21779,League of Legends,2023-04-05 03:02:32.312546+00:00,53235
132181_4_5_3,132181,322503446,Resident Evil 4,2023-04-05 03:02:32.312546+00:00,46661
114795_4_5_3,114795,511224,Apex Legends,2023-04-05 03:02:32.312546+00:00,37888
1905_4_5_3,1905,33214,Fortnite,2023-04-05 03:02:32.312546+00:00,24573
1372_4_5_3,1372,32399,Counter-Strike: Global Offensive,2023-04-05 03:02:32.312546+00:00,42131
200165_4_5_3,200165,1678052513,Call of Duty: Modern Warfare II,2023-04-05 03:02:32.312546+00:00,22196
18866_4_5_3,18866,491487,Dead by Daylight,2023-04-05 03:02:32.312546+00:00,17884
123_4_5_3,123,18122,World of Warcraft,2023-04-05 03:02:32.312546+00:00,17793
7360_4_5_3,7360,460630,Tom Clancy's Rainbow Six Siege,2023-04-05 03:02:32.312546+00:00,22397
205780_4_5_3,205780,1745202732,FIFA 23,2023-04-05 03:02:32.312546+00:00,19539
125174_4_5_3,125174,515025,Overwatch 2,2023-04-05 03:02:32.312546+00:00,14726
15536_4_5_3,15536,491931,Escape from Tarkov,2023-04-05 03:02:32.312546+00:00,20202
2963_4_5_3,2963,29595,Dota 2,2023-04-05 03:02:32.312546+00:00,19447
133379_4_5_3,133379,1754564141,Crab Champions,2023-04-05 03:02:32.312546+00:00,19476
131800_4_5_3,131800,512710,Call of Duty: Warzone,2023-04-05 03:02:32.312546+00:00,13860
1020_4_5_4,1020,32982,Grand Theft Auto V,2023-04-05 04:02:27.033306+00:00,130430
121_4_5_4,121,27471,Minecraft,2023-04-05 04:02:27.033306+00:00,126690
126459_4_5_4,126459,516575,VALORANT,2023-04-05 04:02:27.033306+00:00,51082
115_4_5_4,115,21779,League of Legends,2023-04-05 04:02:27.033306+00:00,54051
152354_4_5_4,152354,1068239917,Mario Party Superstars,2023-04-05 04:02:27.033306+00:00,66570
114795_4_5_4,114795,511224,Apex Legends,2023-04-05 04:02:27.033306+00:00,33449
1905_4_5_4,1905,33214,Fortnite,2023-04-05 04:02:27.033306+00:00,22051
1372_4_5_4,1372,32399,Counter-Strike: Global Offensive,2023-04-05 04:02:27.033306+00:00,39591
132181_4_5_4,132181,322503446,Resident Evil 4,2023-04-05 04:02:27.033306+00:00,31188
200165_4_5_4,200165,1678052513,Call of Duty: Modern Warfare II,2023-04-05 04:02:27.033306+00:00,20896
133379_4_5_4,133379,1754564141,Crab Champions,2023-04-05 04:02:27.033306+00:00,30561
18866_4_5_4,18866,491487,Dead by Daylight,2023-04-05 04:02:27.033306+00:00,15229
125174_4_5_4,125174,515025,Overwatch 2,2023-04-05 04:02:27.033306+00:00,15078
123_4_5_4,123,18122,World of Warcraft,2023-04-05 04:02:27.033306+00:00,15422
7360_4_5_4,7360,460630,Tom Clancy's Rainbow Six Siege,2023-04-05 04:02:27.033306+00:00,18596
205780_4_5_4,205780,1745202732,FIFA 23,2023-04-05 04:02:27.033306+00:00,19691
